what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1387129083324
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1387129083325
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1387129083326
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1387129083327
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1387129083328
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1387129083330
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1387129083331
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1387129083333
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1387129083334
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1387129083335
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1387129083337
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1387129083338
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1387129083339
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1387129083341
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1387129083342
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1387129083343
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1387129083344
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1387129083345
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1387129083345
os,sysinfo,,,"win32",1387129083350
arch,sysinfo,,,"x86",1387129083350
ws,sysinfo,,,"win32",1387129083350
locale,sysinfo,,,"fr_FR",1387129083350
processors,sysinfo,,,"2",1387129083350
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387129083350
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1387129083350
java.specification.name,sysinfo,,,"Java Platform API Specification",1387129083350
java.specification.vendor,sysinfo,,,"Oracle Corporation",1387129083350
java.specification.version,sysinfo,,,"1.7",1387129083350
java.vendor,sysinfo,,,"Oracle Corporation",1387129083350
java.version,sysinfo,,,"1.7.0_45",1387129083350
java.vm.info,sysinfo,,,"mixed mode, sharing",1387129083350
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1387129083350
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387129083350
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1387129083350
java.vm.specification.version,sysinfo,,,"1.7",1387129083350
java.vm.vendor,sysinfo,,,"Oracle Corporation",1387129083350
java.vm.version,sysinfo,,,"24.45-b08",1387129083350
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1387129083357
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1387129089154
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1387129089156
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1387129099463
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387129099562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387129099728
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1387129099852
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1387129100231
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1387129100264
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1387129100785
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1387129100793
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1387129100843
